年份,題號 ,答案 ,完整題目,章節出處,名稱
106,30,B,下列關於呼吸道處置與給藥的敘述，何者正確？ (A)有顏面創傷，或疑顱底骨折的病患，最適合使用鼻咽呼吸道。 (B)若患者頭或頸部受傷，應使用推顎法，避免移動頸部。 (C)LMA （喉罩氣道）可以防止吸入性肺炎，是很好的氣管插管替代品。 (D)當建立氣管內管後，非脂溶性的藥物皆可經由氣管內管給藥。,第 14 章,呼吸道處置與通氣-原理篇
106,31,C,電擊與雷擊的急救處理原則，以下何者為非？ (A)閃電擊中，多人需急救時，應採反向檢傷分類。 (B)閃電擊中導致心臟停止比其他原因造成者，具有較高救活成功率，因些儘管在急救前心臟停止比較久，努力急救仍可能有效地救治。 (C)閃電擊中常常造成 VF ，在急救過程需要多加注意是否需要去顫。 (D)雖然大的電流比較會造成嚴重的傷害，家用電也有致死的可能。,第 44 章,環境急症
106,32,B,關於懷孕婦女的急救，以下何者為非？ (A)應先急救母親，再考慮胎兒。 (B)孕婦只要很小的失血量，就會出現血壓下降與週邊灌流不足（休克）的徵象。 (C)若懷孕大於 24 週，孕婦儘可能保持左側躺的姿勢。右髖部墊高、長背板左傾 15-30度，以減少子宮對主動脈、下腔靜脈的壓迫。 (D)當母親心跳停止 5 分鐘內，剖腹産救出大於 24~25 週的胎兒，此時胎兒存活機率最高。,第 32 章,特殊創傷族群及親密伴侶暴力
106,33,A,對於休克描述，下列何者為非？ (A)只要收縮壓小於 90 mmHg 就是休克。 (B)休克患者會有皮膚冰冷，心跳過速，冒冷汗，呼吸困難症狀。 (C)休克主要是組織灌流不足，造成氧氣運送不能應付組織代謝所需。 (D)可依 rate 、 volume 、 pump ( 律水壓 ) 的原則，對休克依序做初步處理。,第 26 章,出血、休克與止血治療
106,34,A,下列有關這張十二導程心電圖的描述，何者為非？ (A)此為 Sinus Bradycardia 。 (B)心率約每分鐘 30~36 次。 (C)心臟下壁的急性心肌梗塞。 (D)V1~V4 的 ST 段下降是對應變化（ reciprocal changes ）。,第 33 章,心電圖判定
106,35,B,下列有關內分泌及代謝急症的配對，何者為非？ (A)愛迪生疾病（ Addison disease ）：腎上腺素不足。 (B)黏液性水腫（ Myxedema ）：腎上腺素亢進。 (C)酮酸血症：胰島素的缺乏。 (D)葛瑞夫茲病：甲狀腺機能亢進。,第 37 章,內分泌與代謝急症
106,36,D,50 歲男性，求救原因為意識改變，到達現場時，家人描述今天早上開始解數次大量的黑便，剛剛突然大吐血了一次後就不省人事，過去病史有肝硬化與肝癌，現場初評發現，病患皮膚濕冷，呼吸淺快有雜音，血自口鼻持續冒出，頸動脈微弱且橈動脈摸不到，脈搏約 135 下 / 分，呼吸次數約 25 次 / 分，血氧濃度 85% ，意識對痛有些微反應，下列哪個步驟應最優先處置？ (A)給予高濃度氧氣面罩，提升血氧濃度。 (B)接上三導程心律監測器，評估心律。 (C)打上兩條大號靜脈管路，快速輸液。 (D)清除口鼻血塊，維持呼吸道暢通。,第 38 章,腸胃急症
106,37,B,下列有關血液的組成與功能，何者為非？ (A)成人的血液約佔體重的 1/13 。 (B)血球組成中，最多的是血小板。 (C)血漿中水約占了 90% 。 (D)血漿中的白蛋白可維持血液與組織液間滲透壓的恆定性。,第 12 章,人體基本解剖與生理
106,38,B,下列有關嚴重高血鉀的處置與敘述，何者為非？ (A)靜脈注射 Calcium 可以最快減少高血鉀對心臟的影響。 (B)靜脈注射 Sodium bicarbonate 可以將鉀離子移除到身體外面。 (C)心電圖可以看到 QRS 變寬和高聳的 T 波。 (D)容易發生在末期腎病變的病患身上。,第 41 章,泌尿與腎臟急症
106,39,C,根據 ACLS 的建議，以下哪種使用腎上腺素（ Epinephrine ）的方式，何者為非？ (A)無脈搏電氣 PEA 的病患，每 5 分鐘給予 Epinephrine 1mg IV 。 (B)致命性氣喘的病患，每 20 分鐘給予 Epinephrine 0.3mg （ 1 ： 1000 ） SC 。 (C)嚴重過敏性休克的病患，每 5 分鐘給予 Epinephrine 0.3mg （ 1 ： 1000 ） SC 。 (D)心跳四十下且有脈搏的病患給予每分鐘 2-10 μ g Epinephrine IV 連續滴注。,第 16 章,緊急救護藥理學
106,40,B,下列藥物皆有可能引發低血壓，但何者為非？ (A)Amiodarone 心律不整藥。 (B)Naloxone 鴨片類中毒解藥。 (C)Nitroglycerin 心絞痛舌下含錠。 (D)Lasix （ Furosemide ） 利尿劑。,第 16 章,緊急救護藥理學
106,41,A,關於藥物給予與路徑選擇，下列何者為非？ (A)幫孕婦建立 IV 路徑一般建議在下半身（橫膈以下）。 (B)若緊急時無法建立 IV 路徑，除了 IM 肌肉注射， Naloxone 也可以由氣管內管給藥。 (C)大部份的急救藥物都可以由 IO 骨內注射給予，吸收速度相當於 IV 靜脈注射。 (D)在心臟衰竭合併喘鳴、或洗腎合併血壓降低病患身上給予點滴靜脈輸注須特別小心謹慎，因流速太快可能引發肺水腫導致呼吸困難惡化。,第 17 章,藥物給予及給藥途徑
106,42,C,您幫一位 OHCA 病患緊急氣管內插管，插上後幫病患接上潮氣末二氧化碳監測器（ end- tidal CO2 monitor/Capnography ），繼續進行 CPR 後，二氧化碳濃度（ PETCO2 ）監測時二氧化碳分壓一直達不到 10 mmHg ，可能原因有好幾個，但以下何者為非？ (A)心肺功能停止過久，肺部血流無循環。 (B)氣管內管前端反折、或被血塊等異物塞住。 (C)插管位置過深。 (D)壓胸下壓深度不足， CPR 品質效率不好。,第 15 章,進階呼吸道處置與呼吸監測
106,43,D,有關影響腦部灌流壓力高低，與下列何項因素無關？ (A)收縮壓。 (B)舒張壓。 (C)顱內壓。 (D)頸動脈壓。,第 27 章,頭頸脊椎與顏面外傷
106,44,C,有關周邊型眩暈和中樞型眩暈的區分，下列敘述何者為非？ (A)周邊型眩暈多因內耳迷路問題造成。 (B)周邊型眩暈經多次轉頭可減輕眩暈程度。 (C)中樞型眩暈的眼震方向多為單向，且合併對側肢體無力。 (D)中樞型眩暈常合併如手腳不協調等症狀。,第 36 章,神經系統急症與急性腦中風
106,45,A,有關腎上腺危象的常見臨床表現，下列敘述何者為非？ (A)常合併高滲透壓高血糖非酮酸性昏迷症狀表現。 (B)多合併鈉、鉀離子等電解質異常。 (C)多合併低血壓。 (D)需補充大量輸液。,第 37 章,內分泌與代謝急症
106,46,D,下列關於中風的敘述，何者為非？ (A)單純從病人臨床上的症狀表現很難區分此病人發生出血性或缺血性腦中風。 (B)一般急性腦中風除了大片腦梗塞、腦出血或腦幹中風外，鮮少會造成病患意識不清，所以如病患發生意識不清時，應先排除其他造成病患意識不清的情形，例如低血糖。 (C)一般來說，缺血性腦中風特別容易發生在睡眠中或剛睡醒時。 (D)如病患之辛辛那提到院前腦中風評量表為陽性時，由於其可能是腦中風的機會高達七成，而高血糖會造成腦中風病患腦部進一步的傷害，因此就算檢測發現病患發生低血糖的情形，也不應給予 50% 的葡萄糖水或含糖輸液。,第 36 章,神經系統急症與急性腦中風
106,47,A,下列關於心電圖操作與判定的敘述，下列何者為非？ (A)黏貼十二導程的胸前導程時， V3 是貼在左胸第五肋間的鎖骨中線處。 (B)一般正常的 PR 區間（ PR interval ）為 0.12-0.20 秒。 (C)V1 和 V2 導程主要是在觀察心室中膈的解剖位置。 (D)右心室傳導束傳導阻斷（ right bundle branch block ， RBBB ）在心電圖最大的特徵是在 V1 及 V2 導程出現 RSR’ 型態（ RSR’ pattern ）。,第 33 章,心電圖判定
106,48,C,下列關於糖尿病酮酸血症（ DKA ）常見的臨床症狀與表徵，下列何者為非？ (A)心搏過速。 (B)姿態性低血壓。 (C)蒼白濕冷的皮膚。 (D)腹痛。,第 37 章,內分泌與代謝急症
106,49,C,中年男性昏倒求救。你在救護車上幫他接上三導程心電圖如下。請問此心律為何？ (A)第二度第一型房室傳導阻滯。 (B)第二度第二型房室傳導阻滯。 (C)第三度房室傳導阻滯。 (D)竇性心搏過緩併單型性早期心房收縮。,第 33 章,心電圖判定
106,50,B,52 歲男性傷患，現場機車與汽車對撞，在現場評估病患意識時，病患眼睛需疼痛刺激才可睜開眼睛，口中僅能發出無意義的聲音，但是手卻可以準確撥開同仁的手，而測量生命徵象時發現，傷患： BP=80/43 mmHg ， HR=132/min ， BT=36.7C ， O2 sat ： 87% ，呼吸速率（ R.R. ）為 30 ，請問依照改良創傷指數（ RTS ），此傷患之正確 RTS 是？ (A)8 。 (B)9 。 (C)10 。 (D)11 。,第 25 章,外傷總論與重大外傷
106,51,D,高速撞擊事故中，以下均為高能量機轉，何者為非？ (A)機動車事故車速每小時 64 公里以上。 (B)行人被車速每小時 35 公里以上之車輛撞到。 (C)撞擊時車輛凹陷達 75 公分以上。 (D)與傷患對邊之車側凹陷達 45 公分以上。,第 25 章,外傷總論與重大外傷
106,52,B,所謂「創傷致命三病徵（ Lethal triad of trauma ）」，不包含以下何者？ (A)凝血病變（ Coagulopathy ）。 (B)呼吸衰竭（ Respiratory failure ）。 (C)低體溫（ Hypothermia ）。 (D)酸血症（ Acidosis ）。,第 26 章,出血、休克與止血治療
106,53,B,關於 Kehr 徵象（ Kehr sign ）主要為描述下列何種器官受損？ (A)肝臟。 (B)脾臟。 (C)小腸。 (D)胰臟。,第 29 章,腹骨盆部外傷
106,54,C,以下針對＂創傷形式與機轉＂的描述，何者為非？ (A)所謂鈍挫傷係指因外力直接撞擊所造成的傷害。造成傷害的機轉包括壓迫及剪力。 (B)刀刺傷屬低能量傷害，可為刀子、玻璃或剪刀等造成，僅會造成穿過部位損傷。 (C)爆炸傷是一種複合性的傷害，當爆炸發生時會有四階段的受傷機轉，其中第二階段傷患被彈出撞擊地面或其他物體。 (D)汽車碰撞事故中傷患被彈出車外，且距車體超過一公尺，是屬於高能量機轉，即使傷患現場生命徵象穩定，亦應視為嚴重多重創傷將其送往最近且最高層級的急救責任醫院。,第 25 章,外傷總論與重大外傷
106,55,B,出血性休克是嚴重創傷傷患最重要的致命原因之一，針對「出血」的描述何者為非？ (A)大部分外出血肇因於軟組織損傷，且多可以直接加壓方式止血，較少有致命性的出血。 (B)體內可能因穿刺傷或鈍傷而出血，血液流失於血管外的體腔內，容易從外觀判定出血。 (C)身體為防止持續失血，一些自我防衛機轉如局部血管收縮，血小板凝結，血栓形成，纖維結締組織生長，血管修補等便開始啟動。 (D)動脈出血的失血量往往較多，較不易止血，處理不當常會導致低血容性休克；靜脈出血的失血速度相對較慢，止血比較容易。,第 26 章,出血、休克與止血治療
106,56,A,35 歲男性機車騎士於十字路口自摔，未戴安全帽有頭部外傷，軀幹以及肢體處皆無明顯外傷，當你抵達現場後快速又專業的執行救護評估及處置，以下描述何者為是？ (A)在與傷患溝通時，患者自覺聽力受損但耳部外觀正常，要小心顱底骨折的可能。 (B)眼眶周圍發覺有類似浣熊眼（ Raccoon's eyes ）瘀青則要懷疑有中顱底骨折。 (C)頭皮一處 15 公分的撕裂傷正在流血，等到二評時再來包紮止血就好。 (D)自行走上救護車，卻在送醫途中暫時失去意識，可能是硬腦膜下出血的清明期表現。,第 27 章,頭頸脊椎與顏面外傷
106,57,C,27 歲女性開車停紅綠燈時遭後方小貨車撞擊後受困於駕駛座上，有繫安全帶但安全氣囊未被啟動，傷患的雙腳夾困於儀表板跟座椅之間但無明顯外出血。您是抵達現場的高級救護技術員。在救助隊建立脫困途徑的同時，您被指派執行現場救護處置。下列描述何者為非？ (A)接近傷患前先與指揮官充分溝通，確保環境安全如車輛漏油控制，車輛已熄火等。 (B)依據該創傷機轉，傷患頸部可能因為過度伸展的作用力而造成損傷。 (C)體感溫暖，血壓為 76/55 mmHg ，心跳為每分鐘 78 下，出血性休克最有可能要立刻建立靜脈輸液來治療。 (D)經過 25 分鐘後終於將傷患脫困而出，雖屬危急個案，但不需要將止血帶綁於雙腳夾傷處上方。,第 27 章,頭頸脊椎與顏面外傷
106,58,D,72 歲老農修理自家水塔時不慎由三公尺高處跌落，鄰居報案後十分鐘鄰近分隊救護車抵達現場。傷患自述左上背著地後左手因疼痛無法舉起，左胸痛而且呼吸困難，頭頸部沒有受傷，其他肢體無明顯外傷；理學檢查上發現身體濕冷，左側呼吸音不明顯。現場生命徵象如下 BP ： 152/102 mmHg 、 HR ： 112 beat/min 、 SpO2 ： 88% ，當傷患送至醫院後立刻推入急救區進行急救處置。請問下列描述何者為非？ (A)當時老農很痛也很難配合檢查，可視為危急個案，給予高濃度氧氣治療，趕緊送醫。 (B)在救護車上，老農的氣管偏向右側，應考慮張力性氣胸。 (C)老農的老婆說他心臟不好，如果雙手橈動脈脈搏不對稱，創傷性主動脈剝離也是有可能。 (D)如果老農頸靜脈怒張而且還咳血，就能判定是左側大量血胸。,第 28 章,胸部外傷
106,59,A,關於腹部臟器創傷，下列描述何者為非？ (A)胰臟損傷很常見，最常見的機轉為外力直接撞擊上腹部壓迫胰臟撞擊脊椎所致，例如方向盤或機踏車把手直接撞擊上腹部症狀包括上腹部瘀青、傷口，上腹痛並放射至背部。 (B)脾臟為腹部鈍挫傷中最常見的臟器損傷，約佔 40 ～ 55 ％。 60 ％傷患有 Kehr 徵象，即疼痛會放射至左肩。 (C)肝臟為腹部最大的實質器官，為腹部刀刺傷中最常受損的器官，約佔 40 ％。部分傷患疼痛會放射至右肩。 (D)小腸為腹部槍傷中最常見的臟器損傷，約佔 40 ％。小腸損傷初期主要症狀為腹部疼痛，理學檢查沒有腹膜炎徵象並不能排除小腸損傷的可能。,第 29 章,腹骨盆部外傷
106,60,D,地震獲救的傷患中，有多人因為壓碎傷症候群 （ Crush syndrome ） 需住院治療，尤其是在事故後 4 到 6 小時以後才被脫困救出的傷患。該類傷患可能於斷瓦殘壁間，在肢體被重物壓迫的狀態存活數天，但卻可能在重物被移除，脫困數分鐘內死亡。下列描述何者為非？ (A)受壓迫的肢體突然被鬆開時，會造成以下現象：休克（低血壓）、急性腎功能衰竭跟緊急的代謝異常。 (B)在脫困出傷患、鬆開受壓迫的肢體前，應給予大量靜脈輸液。 (C)監測心律，注意有無高血鉀之變化，必要時尋求醫療指導，使用碳酸氫鈉輸注控制高血鉀、酸血症並鹼化尿液減低腎衰竭。 (D)注意有無其他併發症，如腔室症候群。肢體無力及麻痺是腔室症候群最早期的症狀。,第 30 章,軟組織肌肉骨骼外傷與壓砸傷
106,61,A,電傷害是電流通過身體組織所造成的傷害，而其嚴重度端看電流本身的強度與性質、接觸電流的時間長短、電流經過的身體部位來決定。依電源的不同可分為：閃電電擊、高壓電及家用電，下列描述何者為是？ (A)閃電電擊的死亡率最高；高壓電所造成的軟組織併發症最多，且住院時間最長。 (B)高壓電電傷害的致命性心律不整通常可在 12 小時內完全緩解，使用連續性的心電圖監測不宜超過一天。 (C)電阻以骨骼最低，血管、肌肉、皮膚介於中間，神經最高。傷害的嚴重度跟單位肢體截面積與通過的電流密度相關。 (D)表皮燒傷遠比深部的軟組織傷害更多更嚴重，越是高壓電所造成的傷害越是如此。,第 31 章,灼傷與電灼害
106,62,D,有關重大創傷（ Major Trauma ）的敘述，以下何者為是？ (A)所有孕婦或小兒創傷，都應視為重大創傷。 (B)傷患的昏迷指數以及生命跡象都正常，則可排除重大創傷。 (C)應後送到最近的任何醫院，以讓傷患儘快獲得初步治療。 (D)應後送到最近的創傷中心，以讓傷患獲得確定處置改善。,第 25 章,外傷總論與重大外傷
106,63,D,一名工人於工作時被目擊從高處墜落，目擊者立刻報案。傷患現場生命跡象為 GCS ： E1M1V1 ， BP 70/35 mmHg ， HR 35/min ， RR 24/min ；外觀無明顯開放性傷口，四肢變形皮膚濕冷。 你在接獲通報十分鐘內抵達現場，發現該病人呈現休克現象。以下敘述何者為非？ (A)傷患有可能因為心臟挫傷而產生心因性休克。 (B)傷患有可能因為肝臟撕裂傷而產生出血性休克。 (C)傷患有可能是因為張力性氣胸而造成阻塞性休克。 (D)傷患有可能是因為感染而造成敗血性休克。,第 26 章,出血、休克與止血治療
106,64,B,有關頸圈的適應症， 以下何者為非 ？ (A)後頸部骨突處壓痛。 (B)後腦勺頭骨處壓痛。 (C)酒醉後頭部外傷。 (D)意識不清。,第 27 章,頭頸脊椎與顏面外傷
106,65,D,所謂勒福型骨折（ Le Fort Fracture ）指的是何處的骨折？ (A)頭部骨折。 (B)頸部骨折。 (C)掌骨骨折。 (D)臉中心區域骨折。,第 27 章,頭頸脊椎與顏面外傷
106,66,B,有關骨折或脫臼的固定， 以下配對何者為非？ (A)肩關節脫臼，可用三角巾固定。 (B)髖關節脫臼，可用骨盆固定帶。 (C)骨盆骨折，可用 KED 固定。 (D)股骨頸骨折，可用板夾或副木固定。,第 30 章,軟組織肌肉骨骼外傷與壓砸傷
106,67,A,有關斷指的處理， 以下現場處理順序何者為是？ (A)用生理食鹽水紗布濕敷 -> 放入塑膠袋內 -> 放入冰水之中 -> 送往醫院。 (B)用無菌紗布泡稀釋 Epinephrine 包起來 -> 放入塑膠袋內 -> 把冰水倒入塑膠袋內 -> 送往醫院。 (C)用無菌紗布包起來 -> 放入塑膠袋內 -> 把常溫水倒入塑膠袋內 -> 送往醫院。 (D)不須包覆，直接放入塑膠袋內 -> 倒入冰塊 -> 送往醫院。,第 30 章,軟組織肌肉骨骼外傷與壓砸傷
106,68,B,上圖顯示轎車駕駛被砂石車從後追撞， 掀開上衣後發現有安全帶的明顯勒痕。以下敘述，何者為非？ (A)依據該創傷機轉，傷患可能有頸椎損傷。 (B)依據該創傷機轉，傷患可能有肩關節脫臼。 (C)依據該創傷機轉，傷患可能有肝臟破裂。 (D)依據該創傷機轉，傷患可能有橫膈膜疝氣。,第 25 章,外傷總論與重大外傷
106,69,D,下列有關人體體溫調節的敘述，何者為非？ (A)皮膚是調節熱散失最重要的組織。 (B)人體熱散失主要的機轉為輻射、傳導、對流與蒸發。 (C)增加食慾可以增加熱產生。 (D)環境溼度越高，蒸發散熱的效果越好。,第 44 章,環境急症
106,70,D,你到鐵人三項比賽執行醫療組的駐點醫療，目擊一位 35 歲男性參賽者在你面前抽搐後倒下，你跑到參賽者所在的位置，抽搐已停止（抽搐時間不超過 1 分鐘），但病人仍躁動不安，皮膚摸起來乾熱發燙，耳溫槍顯示體溫為 42.5 ℃ ，當時的氣溫為 32.0 ℃ ，相對濕度為 80 ％，以下敘述何者為是？ (A)此參賽者為抽搐所造成的惡性高體溫。 (B)此參賽者為傳統型中暑。 (C)此參賽者為典型的熱衰竭。 (D)病患應立即脫除所有衣物並開始降溫。,第 44 章,環境急症
106,71,C,"你因為搜救任務需要，和局裡山域搜救隊一起搭乘直升機直達海拔 3,311 公尺的嘉明湖畔紮營，在一夜失眠之後，隔天清晨發現自己劇烈頭痛，頭重腳輕且食不下嚥，下列敘述何者為是？ (A)這只是普通感冒的症狀，為了完成任務，還是可以往更高海拔的地方前進。 (B)除了降低高度和給氧，沒有任何藥物和其他方式可以治療。 (C)如果開始出現步態不穩的現象，病患可能會在 24 小時內產生昏迷的症狀。 (D)患者如果會對丹木斯（ Diamox ）過敏，則沒有其他可替代的治療藥物。",第 44 章,環境急症
106,72,B,下列有關準自殺行為與自殺病患的描述，何者為非？ (A)女性的準自殺行為較多，但是男性的自殺成功率較高。 (B)酒精成癮病患的自殺危險性較正常人為低。 (C)自殺的危險因素包括單身或離婚，退休或沒有職業。 (D)自殺及準自殺病患大多有一種以上的精神疾病。,第 46 章,行為急症與精神急症
106,73,D,下列有關於老年病患的譫妄以及失智症的比較，下列敘述何者為非？ (A)譫妄是突然對時間和地點的認知產生混亂，失智症則是對時間和地點慢慢進展的記憶喪失。 (B)譫妄的原因通常和器質性腦病變有關，也和酒精或藥物作用有關。 (C)失智症的病患可能會嘗試虛構故事來取代記憶的缺陷。 (D)譫妄和失智症一樣，並不會產生危及生命急症的狀況。,第 47 章,高齡緊急救護概論
106,74,D,一位 55 歲的男性帶著一只布袋到消防分隊，自訴遭到布袋內的毒蛇（如圖）咬傷右手掌，現在右手掌異常疼痛並腫脹，咬傷處並發現清晰的毒牙咬痕與血泡，以下敘述何者為是？ (A)應該盡速在右手腕處綁上止血帶，以避免毒液擴散。 (B)腫脹疼痛的右手掌應立刻給予冰敷以消腫止痛。 (C)這是出血性毒蛇咬傷，根據一般原則，龜殼花咬傷以及百步蛇咬傷可以使用同一種血清治療。 (D)依據外型判斷，布袋內的毒蛇是百步蛇。,第 50 章,毒物學
106,75,D,救護出勤，現場為一名 75 歲男性老農夫，倒臥半封閉的浴室內，現場充滿農藥味。初評發現病患意識昏迷、全身出汗、口鼻充滿分泌物、瞳孔雙側皆為針狀瞳孔。關於此病患的狀況，以下敘述何者為非？ (A)這是有機磷農藥中毒，會經由呼吸以及皮膚接觸造成中毒，所以現場為不安全的環境，須盡速將病患移至通風處評估處置。 (B)病患可能會無預警的產生呼吸癱瘓或停止呼吸的現象，須考慮進階呼吸道處置。 (C)病患在送醫途中可能會產生癲癇發作的情況，可用 Diazepam 治療。 (D)此種農藥中毒的解毒劑是 Diazepam 。,第 50 章,毒物學
106,76,C,有關酒精對人體的影響，下列敘述何者為非？ (A)酒精的利尿效果會造成電解質不平衡。 (B)長期酗酒可能造成嚴重的消化系統疾病，如：肝硬化、腸胃道出血或胰臟炎。 (C)酒精可以擴張血管，所以對心血管系統不會造成任何影響。 (D)長期濫用酒精會造成免疫系統的抑制。,第 50 章,毒物學
106,77,C,關於新生兒須接受正壓呼吸的適應症，下列何者為非？ (A)呼吸暫停。 (B)呼吸窘迫。 (C)心跳小於每分鐘 120 下。 (D)雖然給予 100% 氧氣仍有持續發紺的情況。,第 48 章,新生兒急救與小兒急症
106,78,B,關於上心室頻脈（ PSVT ），下列何者為非？ (A)在嬰兒上心室頻脈速率多大於每分鐘 220 下，小孩心跳速率多大於每分鐘 180 下。 (B)可藉由刺激迷走神經而延緩房室結傳導來終結上心室頻脈，所以應該優先使用頸動脈竇按摩。 (C)Adenosine 是治療上心室頻脈首選藥物，快速靜脈注射 0.1 mg/kg ，也可經由骨針給予。 (D)在嬰幼兒，最有效的迷走刺激為冰敷臉 10 至 15 秒。,第 48 章,新生兒急救與小兒急症
106,79,D,關於重度低體溫中心體溫 <30 ℃ 病人的照顧，下列何者為是？ (A)評估呼吸及脈搏 10 秒，再決定是否開始心肺復甦術。 (B)如脈搏摸不到，立即每 5 分鐘靜脈給予急救藥腎上腺（ Epinephrine ） 1 mg 。 (C)竇性心搏過慢，須使用心臟節律器。 (D)根據 2015 新版美國心臟學會（ AHA ）建議，對心跳停止後恢復自發性循環（ ROSC ）維持 32-36 OC 至少 24 小時。,第 44 章,環境急症
106,80,C,關於精神狀態檢查五步驟，下列何者為非？ (A)觀察病患外觀，例如 亢奮／冷漠／混亂／理性。 (B)病患言語與情緒特徵。 (C)評估病患生命徵象。 (D)決定病患定向感（人、事、時、地、物）。,第 46 章,行為急症與精神急症
106,81,D,老人急症中，關於譫妄與失智的敘述，下列何者為是？ (A)譫妄為對時間和地點慢慢進展的記憶喪失。 (B)失智症為突然對時間和地點產生混亂。 (C)譫妄跟器質性腦病變有關，也跟酒精中毒和戒斷、藥物作用、發燒、代謝性疾病、腫瘤有關，多為不可逆。 (D)失智症通常和中風、基因、病毒、阿茲海默症有關，多為不可回復。,第 47 章,高齡緊急救護概論
106,82,B,對於常見毒素或毒藥物相對應的解毒劑，下列何者為非？ (A)有機磷（ Organophosphates ）： Atropine 、 PAM （ Pralidoxime ）。 (B)三環抗憂鬱劑（ Cyclic antidepressants ）： N-acetylcysteine （ Fluimucil ）。 (C)鴉片類麻醉劑（ Opiates ）： Naloxone 。 (D)甲醇（ Methanol ）： Ethanol （乙醇）。,第 50 章,毒物學
106,83,D,關於疑似性侵案件的處理，下列何者為是？ (A)盡可能問到病患被性侵之詳細過程。 (B)應該於現場進行會陰部的檢查，檢視有無傷口。 (C)需儘快以生理食鹽水清洗傷口及會陰部。 (D)將病患移至救護車以提供病患之隱私。,第 32 章,特殊創傷族群及親密伴侶暴力
106,84,A,關於野外醫療的臨床決策敘述，下列何者為非？ (A)出發前的準備與訓練完善：雖野外環境不同，但救護與訓練的方式和平時所接受的標準高級救護技術員課程完全相同。 (B)權衡利與弊：在面對每一個決策時，都要問自己：『這樣做之後，對病患的好處是什麼？可能面臨的危害是什麼？』 (C)個案的獨特性：在野外的環境，因人、事、時、地、物等因素的不同，常需要依據當時情形來考量。 (D)避免及預防將來可能發生的殘疾或死亡。,第 45 章,野外醫學
106,85,B,事故指揮系統（ Incident Command System ）創建於 1970 年代，目的是簡化溝通以及建立明確的指揮系統。以下相關敘述何者為非？ (A)災難事件指揮系統是由功能的需求，而非個人原有的頭銜，來組織整個架構。 (B)災難事件指揮系統應該要等上級指示之後再啟動，越晚成立越能夠有完整的架構與功能，也才能發揮越大的作用。 (C)不論災難的本質如何，災難事件指揮系統的架構都是類似的，差異主要是核心人士的特殊專業考量。 (D)災難事件指揮系統中，安全官（ Safety Officer ）的主要任務是負責工作人員的安全，以及特殊災難所需要的特殊技術（例如輻射線偵測以及處理生物感染控制）。,第 52 章,大量病人與災難應變
106,86,B,關於事故指揮系統（ Incident Command System ）中財務行政部門的功能，下列何者為非？ (A)分析財務成本。 (B)維護電力及衛生設備。 (C)追蹤應變人員的工作時間。 (D)負責與廠商或其它部門簽訂財務契約。,第 52 章,大量病人與災難應變
106,87,C,關於事故指揮系統（ Incident Command System ）的描述，簡稱 ICS ，下列何者為非？ (A)主要架構包含指揮、執行、計畫、後勤、財務行政等五個主要的部門。 (B)實際使用時，不一定每一組都要成立，是需求及現有資源而決定。 (C)ICS 架構一旦確立後，就只能增加，不能減少。 (D)ICS 中一定要有的單位是指揮官。,第 52 章,大量病人與災難應變
106,88,C,關於事故指揮系統（ Incident Command System ），以下敘述何者為是？ (A)監督者與下屬的人數比例，建議是 1 ： 8 較為合適。 (B)安全官除了要確保救災及災難受害者安全外，同時要定期向媒體發布相關訊息。 (C)資訊（ Information ）、聯络（ Liaison ）、安全（ Security ）等三項是輔助指揮的功能，可以由專人負責，或是由指揮官兼任。 (D)指揮官必須對所有的災難都有非常專業的了解，否則不能擔任指揮官。,第 52 章,大量病人與災難應變
106,89,B,關於災害現場的現場救護，何者為非？ (A)主要重點包含檢傷、治療及後送。 (B)治療區一定包含重傷、中傷及輕傷區。 (C)救護車後送的傷患人數通常只佔所有就醫傷患的一部分，所以後送時儘可能將中傷與重傷病患分配至不同醫院以避免壅塞。 (D)檢傷是動態的，在現場救護區進行的檢傷統稱為「次級檢傷」，與檢傷的次數無關。,第 52 章,大量病人與災難應變
106,90,D,有關院外災害現場緊急應變作業，下列敘述何者為非？ (A)在大量傷病患事故，可以簡易檢傷及快速治療法則（ simple triage and rapid treatment ， START ）做檢傷分類。 (B)在災害現場若有危及救護人員的情況，應以減少現場處置快速轉送為原則。 (C)可將輕傷病人送往較遠的醫院，以免造成當地醫院急診壅塞，而無法有效處理重症病人。 (D)為了儘速救災，指揮官應要求最近急救責任醫院派出醫療人員組成救護隊前往救援。,第 52 章,大量病人與災難應變
